CHP_ID	Chinese_herbal_pieces	Chinese_synonyms	Pinyin_term	English_term	Sources
CHP02546	麻黄	麻黄草|八棱麻|木贼麻黄|中麻黄|炙麻黄|蜜麻黄|八里麻	ma huang	Ephedra sinica	Viridiplantae
CHP02557	火麻仁	大麻叶|野大麻仁|大麻灰|大麻子|大麻|欧麻|麻叶|麻子	huo ma ren	Cannabis sativa	Viridiplantae
CHP02566	马齿苋	马齿苋子|大花马齿苋	ma chi xian	Portulaca oleracea	Viridiplantae
CHP02568	马兜铃	天仙藤|青木香|马兜铃根	ma dou ling	Aristolochia debilis	Viridiplantae
CHP02582	马蔺子		ma lin zi	Iris lactea	Viridiplantae
CHP02585	马钱子	生马钱子|制马钱子	ma qian zi	Strychnos nux-vomica	Viridiplantae
CHP02621	曼陀罗	洋金花|曼陀罗花	man tuo luo	Datura inoxia	Viridiplantae
CHP02623	曼陀罗叶		man tuo luo ye	Datura inoxia	Viridiplantae
CHP02624	曼陀罗子		man tuo luo zi	Datura inoxia	Viridiplantae
CHP06174	芒硝	元明粉	mang xiao	Natrii Sulfas	Mineral
