cpm_id	Source	Target	attn_weights_1_head_1	attn_weights_1_head_2	attn_weights_2_head_1	attn_weights_2_head_2	attn_weights_3_head_1	attn_weights_3_head_2	attn_weights_4_head_1
UHF0132	CHP00608	CHP00608	0.3354	0.5812	0.2371	0.5204	0.5664	0.5903	0.5003
UHF0132	CHP00997	CHP00997	0.4	0.3722	0.0929	0.2962	0.3602	0.2569	0.323
UHF0132	CHP01690	CHP01690	0.9476	0.3442	0.1394	0.3434	0.3804	0.2253	0.329
UHF0132	CHP01757	CHP01757	0.4517	0.0248	0.1006	0.3056	0.3417	0.2682	0.3242
UHF0132	CHP01771	CHP01771	0.5353	0.2216	0.1754	0.3224	0.3494	0.2567	0.3211
UHF0132	CHP02023	CHP02023	0.981	0.1571	0.2917	0.3475	0.3627	0.3322	0.3596
UHF0132	CHP02305	CHP02305	0.4732	0.2805	0.1072	0.339	0.3661	0.3072	0.3273
UHF0132	CHP02685	CHP02685	0.4516	0.4475	0.1409	0.3606	0.3575	0.3306	0.3259
UHF0132	CHP02750	CHP02750	0.1179	0.2586	0.0962	0.3283	0.3721	0.3384	0.3322
UHF0132	CHP02756	CHP02756	0.3876	0.1838	0.1147	0.3329	0.3544	0.3163	0.3233
UHF0132	CHP03013	CHP03013	0.22	0.2556	0.173	0.3301	0.3516	0.2888	0.3236
UHF0132	CHP03120	CHP03120	0.5076	0.6311	0.1339	0.3154	0.3765	0.2849	0.3282
UHF0132	CHP03999	CHP03999	0.2638	0.2889	0.0522	0.35	0.3432	0.33	0.3356
UHF0132	CHP04065	CHP04065	0.485	0.1301	0.277	0.346	0.3379	0.3267	0.329
UHF0132	CHP04258	CHP04258	0.6002	0.5387	0.171	0.3369	0.376	0.2494	0.3228
UHF0132	CHP04861	CHP04861	0.8598	0.2884	0.3932	0.3272	0.3627	0.3051	0.3339
UHF0132	CHP05255	CHP05255	0.9318	0.4977	0.4543	0.3188	0.4729	0.3528	0.3631
UHF0132	CHP06210	CHP06210	0.2232	0.6173	0.2037	0.3375	0.3674	0.2559	0.3299
UHF0132	CHP06224	CHP06224	0.2731	0.2102	0.1551	0.3187	0.3588	0.3175	0.323
UHF0132	CHP06256	CHP06256	0.7802	0.4715	0.2801	0.5271	0.5255	0.448	0.4946
UHF0132	CHP06320	CHP06320	0.1644	0.3599	0.1179	0.3483	0.3392	0.3606	0.3526
UHF0132	Dry therapeutic	Dry therapeutic	0.0078	0.0486	0.1415	0.0698	0.0606	0.075	0.0661
UHF0132	Moist therapeutic	Moist therapeutic	0.0094	0.1077	0.1464	0.1161	0.1158	0.1341	0.1303
UHF0132	Cold therapeutic	Cold therapeutic	0.0053	0.0656	0.095	0.061	0.0576	0.0688	0.0683
UHF0132	Hot therapeutic	Hot therapeutic	0.0099	0.0539	0.0802	0.0684	0.0515	0.0709	0.06
UHF0123	CHP01757	Hot therapeutic	0.2366	0.0079	0.1752	0.149	0.1682	0.1346	0.151
UHF0123	CHP01757	Dry therapeutic	0.5076	0.0061	0.2513	0.181	0.1893	0.1915	0.1885
UHF0123	CHP04065	Moist therapeutic	0.4842	0.0516	0.2629	0.2472	0.2255	0.3161	0.2626
UHF0123	CHP04065	Hot therapeutic	0.4068	0.0446	0.1842	0.1723	0.1463	0.2375	0.1865
UHF0123	CHP06210	Dry therapeutic	0.1035	0.3845	0.1223	0.2076	0.2131	0.1925	0.1928
UHF0123	CHP06210	Hot therapeutic	0.073	0.5031	0.0853	0.1708	0.1893	0.1353	0.1545
UHF0123	Dry therapeutic	CHP06210	0.3454	0.1582	0.2845	0.3199	0.3409	0.301	0.3233
