CPM_ID	CHP_ID	Dosage_ratio
UHF0160	CHP03130	0.2222
UHF0160	CHP01334	0.2222
UHF0160	CHP04065	0.0556
UHF0160	CHP01368	0.0556
UHF0160	CHP01515	0.0556
UHF0160	CHP01644	0.0556
UHF0160	CHP00239	0.0556
UHF0160	CHP00844	0.0556
UHF0160	CHP00216	0.0556
UHF0160	CHP06176	0.0556
UHF0160	CHP01326	0.0556
UHF0160	CHP01323	0.0556
UHF0161	CHP03130	0.3846
UHF0161	CHP01334	0.3846
UHF0161	CHP02443	0.0769
UHF0161	CHP01118	0.0385
UHF0161	CHP05841	0.0385
UHF0161	CHP01515	0.0385
UHF0161	CHP05996	0.0385
UHF0159	CHP06212	0.9174
UHF0159	CHP03352	0.0344
UHF0159	CHP04106	0.0275
UHF0159	CHP04902	0.0206
UHF0136	CHP03997	0.3191
UHF0136	CHP06355	0.2553
UHF0136	CHP01515	0.1277
UHF0136	CHP00238	0.1277
UHF0136	CHP01693	0.1064
UHF0136	CHP01146	0.0638
UHF0135	CHP06240	0.2
UHF0135	CHP05321	0.2
UHF0135	CHP01161	0.2
UHF0135	CHP03352	0.2
UHF0135	CHP05607	0.2
UHF0137	CHP05807	0.8562
UHF0137	CHP00306	0.0205
UHF0137	CHP00059	0.0205
UHF0137	CHP05321	0.0171
UHF0137	CHP01515	0.0171
UHF0137	CHP00238	0.0171
UHF0137	CHP01519	0.0103
UHF0137	CHP06210	0.0103
UHF0137	CHP04473	0.0103
UHF0137	CHP04571	0.0103
UHF0137	CHP05607	0.0103
UHF0164	CHP00004	0.25
UHF0164	CHP00306	0.25
UHF0164	CHP03343	0.1667
UHF0164	CHP00844	0.1667
UHF0164	CHP03342	0.1667
UHF0192	CHP04065	0.1509
UHF0192	CHP01368	0.1132
UHF0192	CHP02239	0.083
UHF0192	CHP06285	0.083
UHF0192	CHP00308	0.083
UHF0192	CHP06231	0.083
UHF0192	CHP05607	0.083
UHF0192	CHP03283	0.0755
UHF0192	CHP02750	0.0377
UHF0192	CHP01146	0.0377
UHF0192	CHP05104	0.0377
UHF0192	CHP05841	0.0189
UHF0192	CHP06210	0.0189
UHF0192	CHP01515	0.0189
UHF0192	CHP01757	0.0189
UHF0192	CHP06146	0.0189
UHF0192	CHP05169	0.0189
UHF0192	CHP01771	0.0189
UHF0191	CHP06212	0.3711
UHF0191	CHP03130	0.2226
UHF0191	CHP04065	0.0223
UHF0191	CHP02566	0.0223
UHF0191	CHP06286	0.0223
UHF0191	CHP03975	0.0223
UHF0191	CHP04047	0.0223
UHF0191	CHP05194	0.0223
UHF0191	CHP00308	0.0223
UHF0191	CHP02750	0.0223
UHF0191	CHP04382	0.0111
UHF0191	CHP03343	0.0111
UHF0191	CHP06241	0.0111
UHF0191	CHP06231	0.0111
UHF0191	CHP03731	0.0111
UHF0191	CHP06157	0.0111
UHF0191	CHP05255	0.0111
UHF0191	CHP05294	0.0111
UHF0191	CHP04106	0.0111
UHF0191	CHP01161	0.0111
UHF0191	CHP00289	0.0111
UHF0191	CHP00274	0.0111
UHF0191	CHP00099	0.0111
UHF0191	CHP02557	0.0111
UHF0191	CHP03635	0.0111
UHF0191	CHP06236	0.0111
UHF0191	CHP06202	0.0111
UHF0191	CHP00972	0.0111
UHF0191	CHP01316	0.0111
UHF0191	CHP06282	0.0056
UHF0191	CHP05914	0.0037
UHF0191	CHP06396	0.0037
UHF0191	CHP06161	0.0037
UHF0183	CHP06212	0.7139
UHF0183	CHP00306	0.0571
UHF0183	CHP04065	0.0343
UHF0183	CHP04867	0.0228
UHF0183	CHP03343	0.0171
UHF0183	CHP01757	0.0171
UHF0183	CHP00289	0.0171
UHF0183	CHP03342	0.0171
UHF0183	CHP06231	0.0114
UHF0183	CHP01161	0.0114
UHF0183	CHP01323	0.0114
UHF0183	CHP06001	0.0086
UHF0183	CHP06246	0.0057
UHF0183	CHP05914	0.0057
UHF0183	CHP06287	0.0057
UHF0183	CHP04764	0.0057
UHF0183	CHP01515	0.0057
UHF0183	CHP02219	0.0057
UHF0183	CHP06396	0.0057
UHF0183	CHP00238	0.0057
UHF0183	CHP01146	0.0057
UHF0183	CHP00779	0.0057
UHF0183	CHP06161	0.0034
UHF0187	CHP01368	0.4
UHF0187	CHP06264	0.4
UHF0187	CHP03052	0.2
UHF0188	CHP05807	0.6363
UHF0188	CHP06212	0.2121
UHF0188	CHP01515	0.0212
UHF0188	CHP01127	0.0212
UHF0188	CHP00844	0.0212
UHF0188	CHP00316	0.0212
UHF0188	CHP03344	0.0212
UHF0188	CHP01146	0.0212
UHF0188	CHP00779	0.0212
UHF0188	CHP00306	0.0032
UHF0145	CHP00306	0.2
UHF0145	CHP04764	0.1143
UHF0145	CHP01519	0.0686
UHF0145	CHP04473	0.0686
UHF0145	CHP04482	0.0686
UHF0145	CHP01757	0.0686
UHF0145	CHP02748	0.0686
UHF0145	CHP00513	0.0686
UHF0145	CHP06229	0.0571
UHF0145	CHP06282	0.0571
UHF0145	CHP01118	0.0571
UHF0145	CHP03198	0.0343
UHF0145	CHP06328	0.0171
UHF0145	CHP03344	0.0171
UHF0145	CHP04571	0.0171
UHF0145	CHP02904	0.0171
UHF0148	CHP06212	0.177
UHF0148	CHP03013	0.0664
UHF0148	CHP02566	0.0664
UHF0148	CHP04047	0.0664
UHF0148	CHP04902	0.0664
UHF0148	CHP04322	0.0664
UHF0148	CHP04106	0.0664
UHF0148	CHP02750	0.0664
UHF0148	CHP04629	0.0664
UHF0148	CHP06157	0.0664
UHF0148	CHP06202	0.0664
UHF0148	CHP06144	0.0398
UHF0148	CHP00274	0.0398
UHF0148	CHP04697	0.0398
UHF0148	CHP06396	0.0265
UHF0148	CHP06001	0.0133
UHF0149	CHP03013	0.0806
UHF0149	CHP04047	0.0806
UHF0149	CHP05682	0.0806
UHF0149	CHP04106	0.0806
UHF0149	CHP05996	0.0806
UHF0149	CHP06396	0.0806
UHF0149	CHP06231	0.0484
UHF0149	CHP00306	0.0484
UHF0149	CHP00289	0.0484
UHF0149	CHP02750	0.0484
UHF0149	CHP00001	0.0484
UHF0149	CHP03344	0.0484
UHF0149	CHP06157	0.0484
UHF0149	CHP03672	0.0403
UHF0149	CHP00360	0.0403
UHF0149	CHP06282	0.0242
UHF0149	CHP00844	0.0242
UHF0149	CHP06128	0.0242
UHF0149	CHP05914	0.0121
UHF0149	CHP06001	0.0121
UHF0150	CHP06212	0.4878
UHF0150	CHP06231	0.0488
UHF0150	CHP00289	0.0488
UHF0150	CHP00001	0.0488
UHF0150	CHP05996	0.0488
UHF0150	CHP06157	0.0488
UHF0150	CHP06202	0.0488
UHF0150	CHP00948	0.0488
UHF0150	CHP05914	0.0244
UHF0150	CHP04047	0.0122
UHF0150	CHP06282	0.0122
UHF0150	CHP05682	0.0122
UHF0150	CHP04106	0.0122
UHF0150	CHP01127	0.0122
UHF0150	CHP00306	0.0122
UHF0150	CHP00339	0.0122
UHF0150	CHP00844	0.0122
UHF0150	CHP06001	0.0122
UHF0150	CHP06128	0.0122
UHF0150	CHP01323	0.0122
UHF0150	CHP00779	0.0122
UHF0151	CHP06212	0.3313
UHF0151	CHP06396	0.1035
UHF0151	CHP06161	0.1035
UHF0151	CHP06231	0.0331
