cpm_id	Source	Target	attention
UHF0144	Dry therapeutic	Cold therapeutic	0.086415
UHF0144	CHP01118	Cold therapeutic	0.076658
UHF0144	CHP03120	Cold therapeutic	0.053218
UHF0144	CHP04065	Cold therapeutic	0.057518
UHF0144	Dry therapeutic	Dry therapeutic	0.139438
UHF0144	Hot therapeutic	Dry therapeutic	0.200168
UHF0144	CHP01368	Dry therapeutic	0.160827
UHF0144	CHP06282	Dry therapeutic	0.069394
UHF0144	CHP06224	Dry therapeutic	0.043368
UHF0144	CHP06320	Dry therapeutic	0.045078
UHF0144	Moist therapeutic	Dry therapeutic	0.087116
UHF0144	Cold therapeutic	Dry therapeutic	0.099926
UHF0144	CHP01118	Dry therapeutic	0.064997
UHF0144	CHP03120	Dry therapeutic	0.042979
UHF0144	CHP04065	Dry therapeutic	0.046678
UHF0144	Moist therapeutic	Hot therapeutic	0.119514
UHF0144	Hot therapeutic	Hot therapeutic	0.192435
UHF0144	CHP01118	Hot therapeutic	0.095888
UHF0144	CHP03120	Hot therapeutic	0.067525
UHF0144	CHP04065	Hot therapeutic	0.0725
UHF0144	Cold therapeutic	Hot therapeutic	0.090286
UHF0144	CHP06320	Hot therapeutic	0.04669
UHF0144	CHP06224	Hot therapeutic	0.040651
UHF0144	Dry therapeutic	Hot therapeutic	0.101245
UHF0144	CHP01368	Hot therapeutic	0.121523
UHF0144	CHP06282	Hot therapeutic	0.051685
UHF0144	Moist therapeutic	Moist therapeutic	0.160375
UHF0144	Hot therapeutic	Moist therapeutic	0.155836
UHF0144	CHP01118	Moist therapeutic	0.111127
UHF0144	CHP03120	Moist therapeutic	0.079839
UHF0144	CHP04065	Moist therapeutic	0.085522
UHF0144	Cold therapeutic	Moist therapeutic	0.110643
UHF0144	CHP06320	Moist therapeutic	0.080972
UHF0144	CHP06224	Moist therapeutic	0.044296
UHF0144	Dry therapeutic	Moist therapeutic	0.066437
UHF0144	CHP01368	Moist therapeutic	0.074938
UHF0144	CHP06282	Moist therapeutic	0.02992
UHF0468	CHP04047	CHP04047	0.307111
UHF0468	CHP05682	CHP04047	0.110068
UHF0468	Cold therapeutic	CHP04047	0.21341
UHF0468	Hot therapeutic	CHP04047	0.086741
UHF0468	Dry therapeutic	CHP04047	0.196318
UHF0468	Moist therapeutic	CHP04047	0.086398
UHF0468	CHP04047	CHP05682	0.288782
UHF0468	CHP05682	CHP05682	0.120235
UHF0468	Cold therapeutic	CHP05682	0.217332
UHF0468	Hot therapeutic	CHP05682	0.087434
UHF0468	Dry therapeutic	CHP05682	0.199226
UHF0468	Moist therapeutic	CHP05682	0.087086
UHF0468	Dry therapeutic	Cold therapeutic	0.194408
UHF0468	Cold therapeutic	Cold therapeutic	0.216642
UHF0468	CHP04047	Cold therapeutic	0.279566
UHF0468	CHP05682	Cold therapeutic	0.107985
UHF0468	Moist therapeutic	Cold therapeutic	0.100619
UHF0468	Hot therapeutic	Cold therapeutic	0.100945
UHF0468	Dry therapeutic	Dry therapeutic	0.199153
UHF0468	Cold therapeutic	Dry therapeutic	0.21147
UHF0468	CHP04047	Dry therapeutic	0.279495
UHF0468	CHP05682	Dry therapeutic	0.107956
UHF0468	Moist therapeutic	Dry therapeutic	0.100827
UHF0468	Hot therapeutic	Dry therapeutic	0.101152
UHF0468	CHP04047	Hot therapeutic	0.226827
UHF0468	CHP05682	Hot therapeutic	0.087093
