CPM_ID	Chinese_herbal_formulas	Pinyin_term	Routes_of_administration
UHF0167	买朱尼 卡力孜热 蜜膏Ⅰ	mai zhu ni   ka li zi re   mi gao Ⅰ	Oral
UHF0168	买朱尼 卡力孜热 蜜膏Ⅱ	mai zhu ni   ka li zi re   mi gao Ⅱ	Oral
UHF0169	买朱尼 卡麻孜日优斯 蜜膏	mai zhu ni   ka ma zi ri you si   mi gao	Oral
UHF0170	买朱尼 卡思尔日亚 蜜膏	mai zhu ni   ka si er ri ya   mi gao	Oral
UHF0171	买朱尼 开合日巴 蜜膏	mai zhu ni   kai he ri ba   mi gao	Oral
UHF0172	买朱尼 开皮 蜜膏	mai zhu ni   kai pi   mi gao	Oral
UHF0173	买朱尼 开西尼孜 蜜膏	mai zhu ni   kai xi ni zi   mi gao	Oral
UHF0174	买朱尼 库日土米 蜜膏	mai zhu ni   ku ri tu mi   mi gao	Oral
UHF0175	买朱尼 困都尔 蜜膏	mai zhu ni   kun dou er   mi gao	Oral
UHF0176	买朱尼 木地日 白吾力 蜜膏Ⅰ	mai zhu ni   mu di ri   bai wu li   mi gao Ⅰ	Oral
UHF0177	买朱尼 木地日 白吾力 蜜膏Ⅱ	mai zhu ni   mu di ri   bai wu li   mi gao Ⅱ	Oral
UHF0178	买朱尼 木尔买克 蜜膏	mai zhu ni   mu er mai ke   mi gao	Oral
UHF0179	买朱尼 木合台赛尔 蜜膏	mai zhu ni   mu he tai sai er   mi gao	Oral
UHF0180	买朱尼 木开维 开力比 蜜膏	mai zhu ni   mu kai wei   kai li bi   mi gao	Oral
UHF0181	买朱尼 木排土力阿萨提 蜜膏	mai zhu ni   mu pai tu li a sa ti   mi gao	Oral
UHF0182	买朱尼 努西达日 蜜膏	mai zhu ni   nu xi da ri   mi gao	Oral
UHF0183	买朱尼 葡罗尼亚 蜜膏	mai zhu ni   pu luo ni ya   mi gao	Oral
UHF0184	买朱尼 热阿提 蜜膏Ⅰ	mai zhu ni   re a ti   mi gao Ⅰ	Oral
UHF0185	买朱尼 热阿提 蜜膏Ⅱ	mai zhu ni   re a ti   mi gao Ⅱ	Oral
UHF0186	买朱尼 热西德 蜜膏	mai zhu ni   re xi de   mi gao	Oral
UHF0187	买朱尼 赛尔海司 蜜膏	mai zhu ni   sai er hai si   mi gao	Oral
UHF0188	买朱尼 赛排尔吉力 蜜膏	mai zhu ni   sai pai er ji li   mi gao	Oral
UHF0189	买朱尼 晒衣比 糖膏	mai zhu ni   shai yi bi   tang gao	Oral
UHF0190	买朱尼 斯力 日也 蜜膏	mai zhu ni   si li   ri ye   mi gao	Oral
UHF0191	买朱尼 苏来比 蜜膏	mai zhu ni   su lai bi   mi gao	Oral
UHF0192	买朱尼 苏仁江 蜜膏	mai zhu ni   su ren jiang   mi gao	Oral
UHF0193	买朱尼 土如布提 蜜膏	mai zhu ni   tu ru bu ti   mi gao	Oral
UHF0194	买朱尼 外吉 蜜膏	mai zhu ni   wai ji   mi gao	Oral
UHF0195	买朱尼 也合亚 蜜膏	mai zhu ni   ye he ya   mi gao	Oral
UHF0196	买朱尼 也吉如力也胡德 蜜膏Ⅰ	mai zhu ni   ye ji ru li ye hu de   mi gao Ⅰ	Oral
UHF0197	买朱尼 伊本西拿 蜜膏	mai zhu ni   yi ben xi na   mi gao	Oral
UHF0198	蒙孜吉 巴地洋 成熟剂	meng zi ji   ba di yang   cheng shu ji	Oral
UHF0199	蒙孜吉 白里海密 成熟剂	meng zi ji   bai li hai mi   cheng shu ji	Oral
UHF0200	蒙孜吉 白热色 成熟剂Ⅰ	meng zi ji   bai re se   cheng shu ji Ⅰ	Oral
UHF0201	蒙孜吉 白热色 成熟剂Ⅱ	meng zi ji   bai re se   cheng shu ji Ⅱ	Oral
UHF0202	蒙孜吉 白热色 成熟剂Ⅲ	meng zi ji   bai re se   cheng shu ji Ⅲ	Oral
UHF0203	蒙孜吉 白热色 成熟剂Ⅳ	meng zi ji   bai re se   cheng shu ji Ⅳ	Oral
UHF0204	蒙孜吉 赛危大 成熟剂	meng zi ji   sai wei da   cheng shu ji	Oral
UHF0205	蒙孜吉 夏塔热 成熟剂	meng zi ji   xia ta re   cheng shu ji	Oral
UHF0206	木克衣 白里海密 催吐方	mu ke yi   bai li hai mi   cui tu fang	Oral
UHF0207	木克衣 赛危大 催吐方Ⅰ	mu ke yi   sai wei da   cui tu fang Ⅰ	Oral
UHF0208	木克衣 赛危大 催吐方Ⅱ	mu ke yi   sai wei da   cui tu fang Ⅱ	Oral
UHF0209	木排日 开西尼孜 爽心膏	mu pai ri   kai xi ni zi   shuang xin gao	Oral
UHF0210	木排日 三代力来引 爽心膏	mu pai ri   san dai li lai yin   shuang xin gao	Oral
UHF0211	木排日 亚库提 爽心膏	mu pai ri   ya ku ti   shuang xin gao	Oral
UHF0212	木热巴衣 节再尔 果浆	mu re ba yi   jie zai er   guo jiang	Oral
UHF0213	木斯力 白热色 清除剂	mu si li   bai re se   qing chu ji	Oral
UHF0214	木斯力 木法斯力 清除剂	mu si li   mu fa si li   qing chu ji	Oral
UHF0215	木斯力 其拉帕 清除剂	mu si li   qi la pa   qing chu ji	Oral
UHF0216	木斯力 赛危大 清除剂	mu si li   sai wei da   qing chu ji	Oral
UHF0217	木斯力 伊提日非力 清除剂	mu si li   yi ti ri fei li   qing chu ji	Oral
UHF0218	努库衣 阿米则 浸泡液Ⅰ	nu ku yi   a mi ze   jin pao ye Ⅰ	Oral
UHF0219	努库衣 阿米则 浸泡液Ⅱ	nu ku yi   a mi ze   jin pao ye Ⅱ	Oral
UHF0220	努库衣 阿那尔达乃 浸泡液	nu ku yi   a na er da nai   jin pao ye	Oral
UHF0221	努库衣 艾力勒 浸泡液Ⅰ	nu ku yi   ai li lei   jin pao ye Ⅰ	Oral
UHF0222	努库衣 艾力勒 浸泡液Ⅱ	nu ku yi   ai li lei   jin pao ye Ⅱ	Oral
UHF0223	努库衣 开西尼孜 浸泡液	nu ku yi   kai xi ni zi   jin pao ye	Oral
UHF0224	努库衣 帕瓦克 浸泡液	nu ku yi   pa wa ke   jin pao ye	Oral
UHF0225	努库衣 台米日印地 浸泡液	nu ku yi   tai mi ri yin di   jin pao ye	Oral
UHF0226	热维改尼 比也 油	re wei gai ni   bi ye   you	Oral
UHF0227	热维改尼 古丽苏如合 油	re wei gai ni   gu li su ru he   you	Oral
UHF0228	守尔巴衣 木如合 肉汤	shou er ba yi   mu ru he   rou tang	Oral
UHF0229	斯日坎吉本 安斯力 醋糖浆	si ri kan ji ben   an si li   cu tang jiang	Oral
UHF0230	斯日坎吉本 白祖日 阿日 醋糖浆	si ri kan ji ben   bai zu ri   a ri   cu tang jiang	Oral
UHF0231	斯日坎吉本 白祖日 巴日德 醋糖浆Ⅰ	si ri kan ji ben   bai zu ri   ba ri de   cu tang jiang Ⅰ	Oral
UHF0232	斯日坎吉本 白祖日 巴日德 醋糖浆Ⅱ	si ri kan ji ben   bai zu ri   ba ri de   cu tang jiang Ⅱ	Oral
UHF0233	斯日坎吉本 白祖日 木提地里 醋糖浆	si ri kan ji ben   bai zu ri   mu ti di li   cu tang jiang	Oral
UHF0234	斯日坎吉本 比也 醋糖浆	si ri kan ji ben   bi ye   cu tang jiang	Oral
UHF0235	斯日坎吉本 比也 力木尼 醋糖浆	si ri kan ji ben   bi ye   li mu ni   cu tang jiang	Oral
UHF0236	斯日坎吉本 比也 木热开比 醋糖浆	si ri kan ji ben   bi ye   mu re kai bi   cu tang jiang	Oral
UHF0237	斯日坎吉本 福外 醋糖浆	si ri kan ji ben   fu wai   cu tang jiang	Oral
UHF0238	斯日坎吉本 那尼华 醋糖浆Ⅰ	si ri kan ji ben   na ni hua   cu tang jiang Ⅰ	Oral
UHF0239	斯日坎吉本 那尼华 醋糖浆Ⅱ	si ri kan ji ben   na ni hua   cu tang jiang Ⅱ	Oral
UHF0240	斯日坎吉本 欧苏力 白祖日 醋糖浆	si ri kan ji ben   ou su li   bai zu ri   cu tang jiang	Oral
UHF0241	斯日坎吉本 热万 醋糖浆	si ri kan ji ben   re wan   cu tang jiang	Oral
UHF0242	斯日坎吉本 如马尼 醋糖浆	si ri kan ji ben   ru ma ni   cu tang jiang	Oral
UHF0243	斯日坎吉本 再比比 醋糖浆	si ri kan ji ben   zai bi bi   cu tang jiang	Oral
UHF0244	苏福非 阿米勒 散Ⅰ	su fu fei   a mi lei   san Ⅰ	Oral
UHF0245	苏福非 阿米勒 散Ⅱ	su fu fei   a mi lei   san Ⅱ	Oral
UHF0246	苏福非 阿那尔达乃 散	su fu fei   a na er da nai   san	Oral
UHF0247	苏福非 阿亚热吉 巴日德 苦散Ⅰ	su fu fei   a ya re ji   ba ri de   ku san Ⅰ	Oral
UHF0248	苏福非 阿亚热吉 巴日德 苦散Ⅱ	su fu fei   a ya re ji   ba ri de   ku san Ⅱ	Oral
UHF0249	苏福非 巴地洋 散	su fu fei   ba di yang   san	Oral
UHF0250	苏福非 白瓦斯尔 散	su fu fei   bai wa si er   san	Oral
UHF0251	苏福非 白祖日 散	su fu fei   bai zu ri   san	Oral
UHF0252	苏福非 白祖日 散Ⅰ	su fu fei   bai zu ri   san Ⅰ	Oral
UHF0253	苏福非 白祖日 散Ⅱ	su fu fei   bai zu ri   san Ⅱ	Oral
UHF0254	苏福非 白祖如力班吉 散	su fu fei   bai zu ru li ban ji   san	Oral
UHF0255	苏福非 地当 散Ⅰ	su fu fei   di dang   san Ⅰ	Oral
UHF0256	苏福非 地当 散Ⅱ	su fu fei   di dang   san Ⅱ	Oral
UHF0257	苏福非 福瓦克 散	su fu fei   fu wa ke   san	Oral
UHF0258	苏福非 卡库乐 散	su fu fei   ka ku le   san	Oral
UHF0259	苏福非 开合日巴 散	su fu fei   kai he ri ba   san	Oral
UHF0260	苏福非 开来 散	su fu fei   kai lai   san	Oral
UHF0261	苏福非 开然非里 散	su fu fei   kai ran fei li   san	Oral
UHF0262	苏福非 开热非谢 散	su fu fei   kai re fei xie   san	Oral
UHF0263	苏福非 开西尼孜 散	su fu fei   kai xi ni zi   san	Oral
UHF0264	苏福非 开西尼孜 散Ⅰ	su fu fei   kai xi ni zi   san Ⅰ	Oral
UHF0265	苏福非 开西尼孜 散Ⅱ	su fu fei   kai xi ni zi   san Ⅱ	Oral
UHF0266	苏福非 困都尔 散	su fu fei   kun dou er   san	Oral
UHF0267	苏福非 马尼 开止吐散	su fu fei   ma ni   kai zhi tu san	Oral
UHF0268	苏福非 买斯提克 散	su fu fei   mai si ti ke   san	Oral
UHF0269	苏福非 木地日 白吾力 散	su fu fei   mu di ri   bai wu li   san	Oral
UHF0270	苏福非 木地日 白吾力 散Ⅰ	su fu fei   mu di ri   bai wu li   san Ⅰ	Oral
UHF0271	苏福非 木地日 白吾力Ⅱ	su fu fei   mu di ri   bai wu li Ⅱ	Oral
UHF0272	苏福非 木地日 白吾力散Ⅲ	su fu fei   mu di ri   bai wu li san Ⅲ	Oral
