CPM_ID	TCMT_ID
UHF0161	TCMT00292
UHF0162	TCMT02444
UHF0163	TCMT02245
UHF0163	TCMT02734
UHF0163	TCMT02320
UHF0163	TCMT00201
UHF0164	TCMT02245
UHF0164	TCMT02413
UHF0164	TCMT00201
UHF0165	TCMT02245
UHF0165	TCMT02671
UHF0165	TCMT00302
UHF0166	TCMT02246
UHF0166	TCMT00222
UHF0166	TCMT00164
UHF0168	TCMT02245
UHF0169	TCMT00196
UHF0169	TCMT00326
UHF0170	TCMT02245
UHF0170	TCMT00222
UHF0170	TCMT02444
UHF0170	TCMT02375
UHF0171	TCMT02246
UHF0171	TCMT02671
UHF0172	TCMT00222
UHF0172	TCMT02576
UHF0172	TCMT00173
UHF0172	TCMT02565
UHF0172	TCMT00238
UHF0173	TCMT02748
UHF0174	TCMT02246
UHF0174	TCMT00053
UHF0174	TCMT00222
UHF0175	TCMT02671
UHF0176	TCMT02442
UHF0176	TCMT02375
UHF0177	TCMT02375
UHF0178	TCMT02671
UHF0179	TCMT02245
UHF0179	TCMT00205
UHF0179	TCMT02318
UHF0180	TCMT00205
UHF0180	TCMT00202
UHF0180	TCMT02440
UHF0181	TCMT02320
UHF0182	TCMT02734
UHF0182	TCMT02739
UHF0182	TCMT00201
UHF0182	TCMT02258
UHF0182	TCMT02260
UHF0182	TCMT02251
UHF0182	TCMT00067
UHF0182	TCMT02410
UHF0183	TCMT00201
UHF0185	TCMT02245
UHF0185	TCMT00053
UHF0186	TCMT00201
UHF0186	TCMT02671
UHF0187	TCMT00270
UHF0188	TCMT02245
UHF0188	TCMT02318
UHF0188	TCMT02660
UHF0189	TCMT02395
UHF0190	TCMT02742
UHF0190	TCMT00128
UHF0190	TCMT02648
UHF0191	TCMT02671
UHF0191	TCMT02734
UHF0192	TCMT02245
UHF0192	TCMT02375
UHF0192	TCMT00222
UHF0193	TCMT02245
UHF0194	TCMT02245
UHF0194	TCMT02252
UHF0194	TCMT02320
UHF0195	TCMT02245
UHF0195	TCMT00222
UHF0195	TCMT00053
UHF0196	TCMT02247
UHF0196	TCMT00080
UHF0196	TCMT02375
UHF0197	TCMT00201
UHF0197	TCMT02698
UHF0198	TCMT02245
UHF0198	TCMT02320
UHF0200	TCMT02245
UHF0200	TCMT00159
UHF0200	TCMT00222
UHF0205	TCMT02246
UHF0206	TCMT02245
UHF0206	TCMT02320
UHF0206	TCMT02406
UHF0207	TCMT02245
UHF0207	TCMT02320
UHF0207	TCMT00339
UHF0208	TCMT02245
UHF0209	TCMT02248
UHF0209	TCMT02534
UHF0209	TCMT02451
UHF0209	TCMT02543
UHF0210	TCMT02516
UHF0210	TCMT00083
UHF0212	TCMT02246
UHF0212	TCMT02734
UHF0212	TCMT00201
UHF0214	TCMT02375
UHF0214	TCMT00222
UHF0214	TCMT02446
UHF0215	TCMT00053
UHF0218	TCMT02248
UHF0218	TCMT00081
UHF0218	TCMT00105
UHF0219	TCMT02375
UHF0219	TCMT02534
UHF0219	TCMT02446
UHF0220	TCMT02534
UHF0221	TCMT00105
UHF0221	TCMT02446
UHF0221	TCMT02576
UHF0223	TCMT02534
UHF0223	TCMT02576
UHF0224	TCMT02534
UHF0225	TCMT02248
UHF0225	TCMT00114
UHF0225	TCMT02534
UHF0226	TCMT02248
UHF0226	TCMT02660
UHF0226	TCMT00078
UHF0227	TCMT02248
UHF0228	TCMT02246
UHF0228	TCMT00053
UHF0229	TCMT02246
UHF0229	TCMT02442
UHF0229	TCMT00173
UHF0229	TCMT00240
UHF0230	TCMT02246
UHF0230	TCMT02576
UHF0231	TCMT02534
UHF0232	TCMT02248
UHF0232	TCMT02534
UHF0232	TCMT02576
UHF0232	TCMT00222
UHF0234	TCMT02246
UHF0235	TCMT02247
UHF0235	TCMT02534
UHF0235	TCMT00088
UHF0235	TCMT02318
UHF0236	TCMT02246
UHF0236	TCMT00205
UHF0237	TCMT02246
UHF0237	TCMT02742
UHF0237	TCMT02576
UHF0237	TCMT02258
UHF0238	TCMT02245
UHF0238	TCMT00222
UHF0238	TCMT00158
UHF0239	TCMT02245
UHF0239	TCMT00222
UHF0239	TCMT00205
UHF0239	TCMT00158
UHF0240	TCMT02246
UHF0240	TCMT00164
UHF0241	TCMT02248
UHF0241	TCMT02446
UHF0241	TCMT00090
UHF0242	TCMT02247
UHF0242	TCMT00088
UHF0242	TCMT00172
UHF0242	TCMT00090
UHF0243	TCMT02246
UHF0244	TCMT00286
UHF0245	TCMT02245
UHF0245	TCMT00205
UHF0245	TCMT00196
UHF0245	TCMT02318
UHF0245	TCMT02269
UHF0246	TCMT02247
UHF0246	TCMT02320
UHF0246	TCMT00078
UHF0247	TCMT02247
UHF0247	TCMT02534
UHF0247	TCMT02320
UHF0247	TCMT02446
UHF0248	TCMT02534
UHF0249	TCMT02246
